,Gini
0,0.0
1,0.18000000000000005
2,0.18179999999999996
3,0.2744
4,0.3042
5,0.36940000000000006
6,0.4024
7,0.42700000000000005
8,0.4588
9,0.46699999999999997
10,0.48340000000000005
11,0.5282
12,0.552
13,0.5596
14,0.5489999999999999
15,0.5564
16,0.552
17,0.5489999999999999
18,0.533
19,0.5244
20,0.5374
21,0.5489999999999999
22,0.5776
23,0.5412
24,0.5449999999999999
25,0.5674
26,0.5794
27,0.5696
28,0.5946
29,0.5654
30,0.5986
31,0.5831999999999999
32,0.5876
33,0.6104
34,0.5968
35,0.5608
36,0.5680000000000001
37,0.5569999999999999
38,0.5648
39,0.5918
40,0.5918
41,0.5848
42,0.5808
43,0.5780000000000001
44,0.5558000000000001
45,0.5558000000000001
46,0.5674
47,0.5588
48,0.5448
49,0.5274000000000001
50,0.5388
51,0.5388
52,0.5388
53,0.5434
54,0.5478000000000001
55,0.544
56,0.544
57,0.5549999999999999
58,0.5678000000000001
59,0.5836
60,0.5704
61,0.5586
62,0.5691999999999999
63,0.5794
64,0.5636
65,0.5711999999999999
66,0.552
67,0.5544
68,0.5356000000000001
69,0.5332
70,0.5478000000000001
71,0.5314
72,0.5488
73,0.5444
74,0.5287999999999999
75,0.509
76,0.53
77,0.5632
78,0.5786
79,0.5686
80,0.5556
81,0.5482
82,0.5166
83,0.5469999999999999
84,0.5434
85,0.5206
86,0.5114000000000001
87,0.5114000000000001
88,0.5266
89,0.5266
90,0.5114000000000001
91,0.516
92,0.49660000000000004
93,0.5
94,0.48240000000000005
95,0.487
96,0.5034
97,0.49540000000000006
98,0.475
99,0.4798
